           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
           1          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
           2      72172.1       -41388       -41388      42224.1      72172.1       -41388       -41388      42224.1     0.446133   -0.0244358   -0.0244358     0.444792
           3      72172.1       -41388        41388      42224.1      72172.1       -41388        41388      42224.1     0.446133   -0.0244358    0.0244358     0.444792
           4            0            0            0            0  1.06301e-11 -1.77194e-12  3.36055e-12 -9.92806e-12     0.325334   -0.0346697   -0.0346697     0.321618
           5            0            0            0            0  7.64697e-12  5.68375e-12   6.3667e-13 -5.07601e-12     0.325334   -0.0346697    0.0346697     0.321618
           6            0            0            0            0  1.61548e-11 -1.00106e-11 -4.79428e-12   1.1738e-11     0.184997   -0.0346697   -0.0346697     0.178382
           7            0            0            0            0  1.10645e-11 -3.36988e-12  8.77223e-12 -5.84081e-12     0.184997   -0.0346697    0.0346697     0.178382
           8            0            0            0            0   5.5965e-12 -1.06412e-12  -1.8636e-12   5.1687e-12    0.0651315   -0.0244358   -0.0244358    0.0552077
           9            0            0            0            0  5.15095e-12  8.88043e-13   2.5663e-12  4.37696e-12    0.0651315   -0.0244358    0.0244358    0.0552077
          10            0            0            0            0            0            0            0            0            0            0            0            0
          11            0            0            0            0            0            0            0            0            0            0            0            0
          12          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          13          0.5            0            0          0.5          0.5            0            0          0.5          0.5            0            0          0.5
          14      72172.1        41388       -41388      42224.1      72172.1        41388       -41388      42224.1     0.446133    0.0244358   -0.0244358     0.444792
          15      72172.1        41388        41388      42224.1      72172.1        41388        41388      42224.1     0.446133    0.0244358    0.0244358     0.444792
          16            0            0            0            0  1.24215e-11  6.35418e-12 -1.02988e-11 -2.80227e-12     0.325334    0.0346697   -0.0346697     0.321618
          17            0            0            0            0  1.56618e-11 -4.44417e-12  6.08136e-12 -1.37317e-11     0.325334    0.0346697    0.0346697     0.321618
          18            0            0            0            0  9.76746e-12  7.28104e-12 -2.94166e-12   5.8083e-12     0.184997    0.0346697   -0.0346697     0.178382
          19            0            0            0            0  3.03034e-12  2.48474e-12 -6.98488e-13  1.58781e-12     0.184997    0.0346697    0.0346697     0.178382
          20            0            0            0            0  2.56772e-12  1.99044e-12  5.25222e-13 -1.53475e-12    0.0651315    0.0244358   -0.0244358    0.0552077
          21            0            0            0            0  3.18664e-12 -4.62237e-14  -8.8542e-13 -3.06081e-12    0.0651315    0.0244358    0.0244358    0.0552077
          22            0            0            0            0            0            0            0            0            0            0            0            0
          23            0            0            0            0            0            0            0            0            0            0            0            0
