           n            f          f.x          f.y          f.z           fi         fi.x         fi.y         fi.z            u          u.x          u.y          u.z 
           0            0            0            0            0            0            0            0            0            0            0            0            0
           1            0            0            0            0            0            0            0            0            0            0            0            0
           2            0            0            0            0            0            0            0            0            0            0            0            0
           3            0            0            0            0            0            0            0            0            0            0            0            0
           4            0            0            0            0  1.32925e-15  6.27993e-17 -6.99088e-16 -1.12882e-15  5.10341e-05  4.31889e-05  -2.6082e-06   2.7063e-05
           5            0            0            0            0  3.12512e-15 -7.17104e-16  6.99088e-16  -2.9603e-15  3.95919e-05  1.83757e-05 -2.48744e-05  2.47208e-05
           6            0            0            0            0  9.87809e-16  6.10376e-16  7.21787e-16 -2.86759e-16  2.15974e-05 -5.15357e-06 -6.22463e-06  2.00285e-05
           7            0            0            0            0  1.07905e-14  5.96757e-16 -1.89614e-16 -1.07723e-14  2.29556e-05  7.49972e-06  5.04957e-06  2.11001e-05
           8            0            0            0            0  3.72951e-15  3.15652e-16 -3.71364e-15  1.36154e-16  0.000104357  7.34403e-05 -1.09753e-05  7.33237e-05
           9            0            0            0            0  5.62476e-15 -3.71364e-15 -3.79777e-15  1.85033e-15  8.34261e-05  3.04462e-05 -3.66672e-05  6.84724e-05
          10            0            0            0            0  8.29539e-15 -2.15138e-15  1.85918e-15 -7.79285e-15   6.0793e-05 -4.30471e-06 -1.38196e-05  5.90447e-05
          11            0            0            0            0  2.51883e-14  3.88251e-15  4.58989e-17  2.48873e-14  6.38241e-05  1.37108e-05  9.18129e-06  6.16542e-05
          12            0            0            0            0  8.76459e-15  1.64688e-16 -1.44518e-15  8.64305e-15  0.000159122  9.56219e-05 -1.93077e-05  0.000125712
          13            0            0            0            0  2.08007e-14  5.66024e-15  1.44518e-15  1.99636e-14  0.000132897  4.09692e-05 -4.50237e-05  0.000118136
          14            0            0            0            0  1.08408e-14 -4.94336e-15 -2.54865e-15  9.30541e-15  0.000106119  3.62093e-07 -2.13236e-05  0.000103954
          15            0            0            0            0  5.84663e-14  3.76549e-16 -5.85457e-16  5.84622e-14   0.00011067  2.08489e-05  1.10943e-05  0.000108121
          16            0            0            0            0  5.75889e-15  3.94657e-16   3.1686e-15   4.7926e-15  0.000216318  0.000115021 -2.71637e-05  0.000181179
          17            0            0            0            0  1.78331e-14  1.13606e-14  1.10423e-14  8.18689e-15  0.000185549  5.25751e-05 -5.21631e-05  0.000170127
          18            0            0            0            0  1.95032e-14  3.22994e-15 -3.84789e-15   1.8845e-14  0.000153959  7.67312e-06 -2.91406e-05  0.000150982
          19            0            0            0            0  8.74538e-15 -6.15283e-15  -1.6132e-15  6.00182e-15  0.000160212  3.02017e-05  1.15617e-05  0.000156915
          20            1            0            0            1            1 -3.48087e-16  4.25516e-15            1   0.00027515  0.000132727 -3.18792e-05  0.000238903
          21            1            0            0            1            1  1.13606e-14  1.10423e-14            1  0.000239548  6.49665e-05 -5.82921e-05   0.00022308
          22            1            0            0            1            1  1.91598e-15  5.37434e-15            1  0.000203156  1.64997e-05 -3.95034e-05  0.000198594
          23            1            0            0            1            1  3.66139e-15  1.88763e-16            1  0.000211703  4.31911e-05   1.3546e-05  0.000206807
